                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.2255,                0.73525,                0.93541,                0.96547,                0.95354,                0.96649,                0.62157,                 1.1314,                0.64711,                 0.9323,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.2236,                 0.7117,                 0.9315,                 0.9635,                0.96335,                0.96974,                0.62119,                 1.1475,                0.64364,                0.93465,              0.0013763,              0.0013763,              0.0013763
                     65,                 1.2232,                0.71509,                0.93342,                0.97027,                0.96148,                0.97771,                0.62411,                 1.1483,                 0.6407,                0.92957,              0.0013664,              0.0013664,              0.0013664
                     66,                 1.2186,                0.71071,                0.93771,                0.96682,                0.95753,                0.97579,                0.63791,                 1.1061,                0.65131,                0.92328,              0.0013565,              0.0013565,              0.0013565
                     67,                 1.2131,                0.71215,                0.93299,                0.97397,                 0.9626,                0.97952,                0.59607,                 1.2483,                0.66168,                0.95283,              0.0013466,              0.0013466,              0.0013466
                     68,                 1.2256,                0.71078,                0.93733,                0.97348,                0.96238,                0.98068,                0.62167,                 1.1475,                0.66754,                0.92857,              0.0013367,              0.0013367,              0.0013367
                     69,                 1.2005,                0.69276,                0.93138,                0.97382,                0.96128,                0.98102,                0.62552,                 1.1508,                0.62563,                0.93202,              0.0013268,              0.0013268,              0.0013268
                     70,                  1.194,                 0.6975,                0.92362,                0.97444,                 0.9617,                 0.9884,                0.64224,                 1.1203,                0.66679,                 0.9176,              0.0013169,              0.0013169,              0.0013169
                     71,                 1.2294,                0.72798,                0.93284,                0.97445,                0.96056,                 0.9792,                  0.642,                 1.0731,                0.63787,                0.91066,               0.001307,               0.001307,               0.001307
                     72,                 1.2003,                0.70742,                0.91977,                0.97644,                0.96759,                 0.9824,                0.65137,                 1.1103,                0.60545,                0.92099,              0.0012971,              0.0012971,              0.0012971
                     73,                 1.1724,                 0.6666,                0.92008,                0.97247,                0.96442,                0.98061,                0.65429,                 1.0911,                0.61788,                0.92039,              0.0012872,              0.0012872,              0.0012872
                     74,                 1.1828,                0.69055,                0.92876,                 0.9735,                 0.9617,                0.97946,                0.65451,                  1.087,                0.59132,                0.91868,              0.0012773,              0.0012773,              0.0012773
                     75,                 1.1762,                0.67426,                0.92486,                 0.9764,                0.96567,                0.98052,                0.61331,                 1.1804,                0.61095,                0.93261,              0.0012674,              0.0012674,              0.0012674
                     76,                 1.1825,                0.66072,                 0.9288,                0.97373,                0.96691,                0.98165,                0.65794,                 1.0679,                0.57362,                0.91354,              0.0012575,              0.0012575,              0.0012575
                     77,                 1.1779,                0.66378,                 0.9234,                0.97747,                0.96917,                0.98324,                0.64859,                 1.1298,                 0.5969,                0.92352,              0.0012476,              0.0012476,              0.0012476
                     78,                 1.1797,                0.67578,                0.92542,                0.97852,                0.97077,                0.98295,                0.65248,                 1.0768,                0.60167,                  0.912,              0.0012377,              0.0012377,              0.0012377
                     79,                 1.1668,                0.67122,                0.91503,                 0.9743,                0.96254,                0.98846,                0.67439,                 1.0444,                 0.5877,                0.90532,              0.0012278,              0.0012278,              0.0012278
                     80,                 1.1609,                 0.6596,                0.91804,                0.97749,                0.96472,                0.98461,                0.68021,                 1.0625,                0.58923,                 0.9114,              0.0012179,              0.0012179,              0.0012179
                     81,                 1.1599,                0.64915,                0.92255,                0.97419,                0.96487,                0.98288,                0.65586,                 1.1081,                0.58436,                0.92289,               0.001208,               0.001208,               0.001208
                     82,                 1.1547,                0.65054,                0.91901,                0.97474,                0.97507,                0.99124,                0.67776,                 1.0457,                 0.5864,                0.90678,              0.0011981,              0.0011981,              0.0011981
                     83,                 1.1662,                0.65556,                0.92233,                0.97664,                0.97756,                0.98973,                0.66569,                 1.0866,                0.57323,                0.91557,              0.0011882,              0.0011882,              0.0011882
                     84,                 1.1654,                0.65107,                0.92052,                0.97574,                0.96759,                0.99043,                0.66205,                 1.0745,                0.60765,                0.91153,              0.0011783,              0.0011783,              0.0011783
                     85,                 1.1425,                0.63293,                0.91968,                0.97865,                 0.9685,                 0.9907,                0.66258,                 1.0726,                0.58958,                0.90967,              0.0011684,              0.0011684,              0.0011684
                     86,                  1.141,                0.63605,                0.91121,                0.97042,                0.96658,                0.98075,                 0.6837,                 1.0126,                0.55655,                0.90069,              0.0011585,              0.0011585,              0.0011585
                     87,                 1.1362,                0.61914,                 0.9145,                0.97789,                0.96872,                0.98878,                0.66678,                 1.0605,                0.57699,                 0.9059,              0.0011486,              0.0011486,              0.0011486
                     88,                 1.1359,                0.63539,                0.91538,                0.97082,                0.96759,                0.98419,                 0.6674,                 1.0611,                0.57146,                0.90738,              0.0011387,              0.0011387,              0.0011387
